account_id,payment_behavior,months_on_book,plan_tier,auto_debit,credit_score_band,bundled_services,complaint_calls,ebill_enrolled,segment,target
ACC0005129,40,25,15,45,-20,55,40,-20,MATURE,0
ACC0005130,-60,25,15,45,65,-30,-50,-20,YOUNG,0
ACC0005131,10,55,15,45,35,55,-50,-20,MATURE,0
ACC0005132,40,-45,50,-40,65,-30,40,30,YOUNG,0
ACC0005133,75,55,-35,-40,10,5,40,30,YOUNG,0
ACC0005134,75,-45,-35,45,10,30,0,30,YOUNG,0
ACC0005135,10,55,50,45,-55,30,40,30,MATURE,0
ACC0005136,75,55,15,45,35,5,-50,-20,MATURE,0
ACC0005137,75,-45,15,-40,-20,5,40,30,YOUNG,0
ACC0005138,40,-10,-35,45,10,55,40,30,MATURE,0
ACC0005139,10,-10,-35,-40,35,5,-50,30,YOUNG,0
ACC0005140,40,25,50,-40,65,30,40,30,MATURE,0
ACC0005141,40,55,50,45,35,55,40,-20,MATURE,0
ACC0005142,-25,-10,-35,45,65,5,40,30,YOUNG,1
ACC0005143,-25,-10,50,45,35,55,40,-20,MATURE,0
ACC0005144,-60,25,15,45,35,5,0,30,YOUNG,0
ACC0005145,10,25,-35,-40,65,5,-50,30,YOUNG,0
ACC0005146,10,-10,15,-40,35,-30,40,-20,YOUNG,0
ACC0005147,-25,55,-35,-40,35,30,-50,30,MATURE,0
ACC0005148,40,25,-35,-40,35,-30,-50,30,YOUNG,0
ACC0005149,-60,-10,-35,-40,35,30,0,-20,YOUNG,1
ACC0005150,-60,-45,15,-40,-20,-30,40,30,YOUNG,1
ACC0005151,10,55,15,45,10,5,40,-20,MATURE,0
ACC0005152,75,25,15,-40,35,-30,40,30,YOUNG,0
ACC0005153,-25,55,-35,-40,10,30,40,30,YOUNG,1
ACC0005154,40,55,15,-40,-55,-30,0,30,MATURE,0
ACC0005155,40,55,-35,45,35,-30,0,30,YOUNG,0
ACC0005156,-60,-45,15,-40,10,-30,0,30,YOUNG,1
ACC0005157,10,25,50,45,65,5,0,-20,MATURE,0
ACC0005158,-60,-10,50,-40,10,-30,40,-20,MATURE,0
ACC0005159,-60,-10,15,45,35,30,40,30,MATURE,0
ACC0005160,75,55,50,-40,-55,5,40,30,MATURE,1
ACC0005161,-60,-10,15,45,-55,-30,40,30,YOUNG,1
ACC0005162,40,55,50,-40,65,55,-50,30,MATURE,0
ACC0005163,-25,-10,50,45,65,55,40,30,MATURE,0
ACC0005164,-25,-45,-35,-40,-55,5,-50,30,YOUNG,1
ACC0005165,10,55,15,-40,10,5,0,30,MATURE,0
ACC0005166,10,55,15,-40,35,5,0,30,MATURE,0
ACC0005167,10,55,15,45,65,-30,0,-20,MATURE,0
ACC0005168,75,55,15,45,35,-30,40,30,MATURE,0
ACC0005169,40,25,50,45,-20,55,40,30,MATURE,0
ACC0005170,40,55,15,45,10,30,0,30,YOUNG,0
ACC0005171,10,-10,-35,-40,-55,-30,0,30,YOUNG,1
ACC0005172,75,-10,15,-40,10,30,-50,30,YOUNG,1
ACC0005173,75,-10,50,-40,-20,30,0,-20,MATURE,0
ACC0005174,40,55,50,45,10,55,0,30,MATURE,0
ACC0005175,40,-45,-35,-40,-20,-30,40,30,YOUNG,1
ACC0005176,10,-45,15,45,-55,55,0,30,YOUNG,1
ACC0005177,75,25,15,45,-55,-30,40,30,YOUNG,0
ACC0005178,75,-10,50,45,35,55,40,30,MATURE,0
ACC0005179,40,25,50,45,10,-30,-50,-20,MATURE,0
ACC0005180,40,25,50,-40,-20,5,40,-20,MATURE,1
ACC0005181,75,25,-35,-40,10,55,40,30,MATURE,0
ACC0005182,10,25,50,45,35,-30,0,30,MATURE,0
ACC0005183,40,-45,15,45,-55,-30,0,-20,YOUNG,1
ACC0005184,40,-10,-35,45,10,-30,40,30,YOUNG,0
ACC0005185,75,-10,-35,-40,-20,-30,40,30,YOUNG,0
ACC0005186,-25,-45,50,-40,-20,55,0,30,YOUNG,0
ACC0005187,40,-10,-35,-40,-55,-30,0,30,YOUNG,0
ACC0005188,40,-10,15,45,35,30,-50,30,YOUNG,0
ACC0005189,40,25,15,45,35,-30,40,30,MATURE,0
ACC0005190,10,-45,15,45,65,5,40,-20,MATURE,0
ACC0005191,40,-10,15,45,10,-30,40,-20,YOUNG,0
ACC0005192,75,-10,-35,45,10,5,0,30,YOUNG,0
ACC0005193,40,25,-35,45,65,30,40,30,MATURE,0
ACC0005194,10,-10,15,45,10,5,0,30,MATURE,0
ACC0005195,40,55,50,45,35,30,0,-20,MATURE,0
ACC0005196,10,-45,15,45,65,5,-50,-20,YOUNG,0
ACC0005197,-25,-45,-35,45,65,-30,0,30,YOUNG,1
ACC0005198,10,25,15,-40,35,5,40,30,YOUNG,0
ACC0005199,10,-45,-35,-40,-55,30,40,30,YOUNG,1
ACC0005200,75,25,50,45,35,-30,40,30,MATURE,0
ACC0005201,10,-45,-35,-40,10,-30,0,30,YOUNG,0
ACC0005202,10,-45,-35,45,-55,55,-50,30,YOUNG,0
ACC0005203,10,-45,50,45,35,55,40,-20,MATURE,0
ACC0005204,75,25,15,45,-20,5,40,30,MATURE,0
ACC0005205,-25,55,15,-40,35,-30,40,30,MATURE,0
ACC0005206,10,-45,50,-40,-55,-30,-50,30,YOUNG,0
ACC0005207,75,-10,50,45,10,30,40,30,MATURE,0
ACC0005208,75,-45,50,-40,-20,55,0,30,YOUNG,0
ACC0005209,10,-45,-35,-40,35,-30,-50,30,YOUNG,1
ACC0005210,10,25,15,45,-55,30,-50,-20,YOUNG,0
ACC0005211,75,-45,-35,-40,-55,5,40,30,YOUNG,0
ACC0005212,10,-45,15,-40,35,55,40,30,MATURE,0
ACC0005213,10,-10,-35,-40,65,-30,40,-20,MATURE,0
ACC0005214,-25,-10,15,45,-55,-30,40,30,YOUNG,0
ACC0005215,10,-45,-35,-40,35,5,40,30,YOUNG,0
ACC0005216,-25,55,15,45,10,-30,0,30,YOUNG,0
ACC0005217,-25,55,-35,-40,10,5,-50,30,YOUNG,0
ACC0005218,-60,-10,15,-40,35,-30,0,30,YOUNG,1
ACC0005219,40,-45,-35,-40,-55,5,-50,30,YOUNG,0
ACC0005220,10,-45,-35,-40,-20,-30,-50,30,YOUNG,1
ACC0005221,10,55,15,-40,10,55,0,30,YOUNG,0
ACC0005222,40,-45,15,45,65,30,0,-20,MATURE,0
ACC0005223,75,-10,15,45,-55,-30,0,30,YOUNG,1
ACC0005224,10,25,15,45,10,-30,-50,30,YOUNG,0
ACC0005225,75,-10,15,45,-20,5,40,30,MATURE,0
ACC0005226,-60,-10,50,-40,-20,30,0,30,YOUNG,0
ACC0005227,40,-10,15,-40,-20,5,-50,30,YOUNG,0
ACC0005228,10,-45,-35,45,10,-30,40,30,YOUNG,0
ACC0005229,10,-10,15,45,-20,-30,40,30,YOUNG,0
ACC0005230,40,25,15,45,-20,5,0,30,MATURE,0
ACC0005231,75,25,50,45,35,30,40,30,MATURE,0
ACC0005232,-60,-45,15,-40,10,55,40,30,YOUNG,0
ACC0005233,-25,25,15,-40,35,5,-50,30,MATURE,0
ACC0005234,-25,-10,15,45,10,-30,-50,30,YOUNG,1
ACC0005235,40,55,15,45,10,55,40,30,MATURE,0
ACC0005236,10,25,50,45,-20,55,40,-20,MATURE,0
ACC0005237,40,25,15,45,-20,5,40,30,YOUNG,0
ACC0005238,40,-45,-35,45,35,-30,40,30,YOUNG,0
ACC0005239,40,55,50,-40,65,30,40,30,MATURE,0
ACC0005240,-25,25,-35,45,-20,55,40,30,MATURE,1
ACC0005241,75,-10,15,-40,10,55,40,30,MATURE,0
ACC0005242,40,-10,-35,-40,35,-30,-50,30,YOUNG,1
ACC0005243,40,-10,-35,-40,35,-30,-50,30,YOUNG,1
ACC0005244,40,55,15,45,35,5,0,-20,MATURE,0
ACC0005245,-25,-10,-35,-40,10,55,40,30,YOUNG,1
ACC0005246,10,-10,-35,45,-20,-30,0,30,YOUNG,1
ACC0005247,75,55,50,-40,10,30,-50,-20,MATURE,0
ACC0005248,10,-45,-35,45,35,-30,0,30,YOUNG,0
ACC0005249,10,-10,50,45,10,-30,-50,30,YOUNG,0
ACC0005250,-25,-45,50,45,10,5,40,30,MATURE,0
ACC0005251,40,-10,-35,45,10,30,40,30,MATURE,0
ACC0005252,-25,-10,50,-40,-20,55,40,-20,MATURE,0
ACC0005253,10,55,15,45,35,-30,0,30,MATURE,0
ACC0005254,-25,-45,-35,-40,35,-30,0,30,YOUNG,1
ACC0005255,10,-10,-35,-40,35,-30,0,30,YOUNG,0
ACC0005256,75,-45,15,45,-55,55,40,30,YOUNG,0
ACC0005257,10,-10,15,-40,-20,-30,0,30,YOUNG,0
ACC0005258,40,-10,-35,45,10,-30,0,-20,YOUNG,0
ACC0005259,75,-10,15,-40,35,-30,0,-20,MATURE,0
ACC0005260,10,25,50,-40,-20,-30,-50,-20,YOUNG,1
ACC0005261,75,-10,15,45,35,30,0,30,MATURE,0
ACC0005262,40,55,15,45,35,-30,0,30,MATURE,0
ACC0005263,10,-10,15,45,35,30,0,-20,MATURE,0
ACC0005264,75,25,15,-40,10,-30,40,-20,YOUNG,0
ACC0005265,75,-45,15,45,-55,30,-50,30,YOUNG,0
ACC0005266,10,-10,-35,-40,35,30,-50,30,YOUNG,0
ACC0005267,-25,-10,-35,-40,35,30,0,30,YOUNG,0
ACC0005268,75,-10,50,-40,65,-30,0,30,YOUNG,0
ACC0005269,75,25,15,-40,10,-30,40,30,YOUNG,0
ACC0005270,10,25,15,45,65,5,0,-20,MATURE,0
ACC0005271,40,-10,15,-40,35,-30,-50,30,YOUNG,0
ACC0005272,75,-45,15,45,35,55,0,30,MATURE,0
ACC0005273,75,-10,15,45,10,55,-50,-20,MATURE,0
ACC0005274,-25,25,15,45,35,5,-50,30,MATURE,0
ACC0005275,10,25,15,-40,10,-30,-50,30,YOUNG,0
ACC0005276,-60,-10,15,-40,10,5,0,30,YOUNG,0
ACC0005277,10,-10,-35,45,10,-30,-50,-20,YOUNG,1
ACC0005278,10,-45,-35,-40,10,-30,0,30,MATURE,1
ACC0005279,-25,-45,-35,45,35,-30,-50,30,YOUNG,0
ACC0005280,-60,25,15,-40,-20,30,-50,30,YOUNG,1
ACC0005281,40,25,50,-40,35,-30,0,30,YOUNG,0
ACC0005282,10,55,-35,45,10,-30,40,-20,MATURE,0
ACC0005283,10,25,15,-40,10,30,0,30,YOUNG,1
ACC0005284,40,25,50,-40,35,30,40,30,MATURE,0
ACC0005285,10,55,15,-40,-55,5,40,30,YOUNG,0
ACC0005286,-25,55,-35,-40,-20,30,40,30,YOUNG,0
ACC0005287,-60,-10,15,45,-20,5,40,30,YOUNG,0
ACC0005288,75,55,15,45,35,5,40,30,MATURE,0
ACC0005289,10,-45,15,45,-55,-30,0,30,YOUNG,0
ACC0005290,-25,-45,15,45,-20,-30,-50,30,YOUNG,0
ACC0005291,10,25,15,45,35,5,-50,-20,MATURE,0
ACC0005292,75,-10,15,45,35,30,0,-20,MATURE,0
ACC0005293,75,25,15,-40,10,5,0,30,YOUNG,1
ACC0005294,10,-45,15,45,-55,5,-50,-20,YOUNG,1
ACC0005295,75,25,15,45,65,30,-50,30,MATURE,0
ACC0005296,40,25,50,45,-20,-30,0,-20,YOUNG,0
ACC0005297,40,55,15,-40,10,55,40,-20,MATURE,0
ACC0005298,10,-45,15,-40,35,-30,0,-20,YOUNG,1
ACC0005299,75,25,15,45,35,-30,40,30,MATURE,0
ACC0005300,-25,-10,-35,45,10,-30,-50,30,YOUNG,1
ACC0005301,40,-10,15,45,10,30,40,30,MATURE,0
ACC0005302,40,55,-35,45,35,55,0,30,MATURE,0
ACC0005303,40,-10,15,45,35,30,-50,30,YOUNG,0
ACC0005304,-25,-45,-35,-40,10,-30,-50,30,YOUNG,0
ACC0005305,-25,25,-35,45,10,30,40,-20,YOUNG,0
ACC0005306,75,55,15,45,65,-30,40,30,MATURE,0
ACC0005307,10,-45,15,45,-20,-30,0,30,YOUNG,0
ACC0005308,40,25,-35,45,10,-30,40,30,YOUNG,0
ACC0005309,10,-10,-35,-40,10,-30,40,-20,YOUNG,0
ACC0005310,10,-45,-35,-40,35,55,0,30,YOUNG,1
ACC0005311,-25,55,-35,45,35,-30,0,30,YOUNG,0
ACC0005312,10,-10,-35,45,-55,5,0,30,YOUNG,0
ACC0005313,10,-45,50,-40,35,-30,0,30,YOUNG,0
ACC0005314,10,-10,15,45,35,30,40,30,YOUNG,0
ACC0005315,-25,25,15,-40,10,5,-50,30,YOUNG,1
ACC0005316,75,25,-35,45,35,5,40,30,MATURE,0
ACC0005317,10,25,50,45,10,-30,40,30,MATURE,0
ACC0005318,40,-10,-35,-40,-20,5,40,30,YOUNG,1
ACC0005319,10,25,15,45,-20,5,0,30,YOUNG,1
ACC0005320,-25,-45,15,-40,35,30,40,30,YOUNG,0
ACC0005321,40,55,-35,45,-55,-30,40,30,YOUNG,0
ACC0005322,10,-10,50,-40,35,30,0,30,YOUNG,1
ACC0005323,75,-10,15,-40,10,-30,40,30,YOUNG,0
ACC0005324,-60,-10,15,45,-55,30,40,30,YOUNG,0
ACC0005325,-60,55,15,45,65,30,-50,-20,MATURE,0
ACC0005326,75,25,15,-40,35,-30,0,30,MATURE,0
ACC0005327,40,-45,15,-40,10,5,40,30,YOUNG,0
ACC0005328,40,25,15,45,35,30,40,-20,MATURE,0
ACC0005329,-25,-10,-35,45,10,-30,40,30,MATURE,0
ACC0005330,10,-10,15,45,10,-30,0,30,YOUNG,0
ACC0005331,75,-45,-35,45,10,-30,-50,30,YOUNG,0
ACC0005332,-25,-10,15,-40,35,-30,-50,30,YOUNG,0
ACC0005333,75,25,-35,45,10,30,40,30,MATURE,0
ACC0005334,-25,-10,15,-40,-55,-30,-50,30,YOUNG,1
ACC0005335,75,-10,15,-40,35,30,-50,-20,MATURE,1
ACC0005336,40,55,15,45,35,-30,0,30,MATURE,0
ACC0005337,40,-10,-35,-40,-55,5,-50,-20,YOUNG,0
ACC0005338,10,55,-35,45,65,5,40,30,MATURE,0
ACC0005339,10,-45,15,45,10,-30,0,30,MATURE,0
ACC0005340,10,25,50,-40,-55,-30,0,30,YOUNG,1
ACC0005341,75,-10,15,-40,65,30,40,-20,MATURE,0
ACC0005342,40,-45,-35,-40,65,-30,40,30,YOUNG,0
ACC0005343,75,-10,-35,-40,-55,-30,40,30,YOUNG,0
ACC0005344,-25,-10,-35,-40,-20,-30,0,30,YOUNG,1
ACC0005345,10,-45,-35,45,-20,5,0,30,YOUNG,0
ACC0005346,10,55,15,45,10,-30,0,30,YOUNG,0
ACC0005347,10,-45,-35,-40,10,5,40,30,YOUNG,0
ACC0005348,75,25,-35,-40,-20,-30,40,-20,YOUNG,0
ACC0005349,75,25,-35,45,35,55,0,30,YOUNG,0
ACC0005350,-25,-10,15,45,35,5,-50,30,YOUNG,0
ACC0005351,75,-45,15,-40,65,-30,40,30,YOUNG,0
ACC0005352,10,25,15,-40,-20,-30,-50,30,YOUNG,1
ACC0005353,10,-10,15,45,10,30,40,30,MATURE,0
ACC0005354,-25,-10,15,-40,35,30,0,-20,YOUNG,1
ACC0005355,-25,-10,15,-40,10,55,0,-20,YOUNG,0
ACC0005356,10,-10,50,-40,-55,30,40,30,YOUNG,0
ACC0005357,75,-10,-35,-40,10,-30,-50,30,YOUNG,0
ACC0005358,75,-10,15,-40,10,5,40,-20,YOUNG,0
ACC0005359,-25,-45,15,-40,65,-30,0,30,YOUNG,1
ACC0005360,10,-10,50,-40,65,55,-50,-20,YOUNG,0
ACC0005361,75,55,15,45,-20,-30,40,-20,MATURE,0
ACC0005362,-60,-10,15,-40,10,5,40,30,YOUNG,1
ACC0005363,40,55,15,-40,35,5,0,30,YOUNG,0
ACC0005364,-60,-45,50,45,10,-30,-50,30,YOUNG,0
ACC0005365,-25,-10,-35,-40,-55,-30,0,-20,YOUNG,1
ACC0005366,10,-10,15,45,-55,55,-50,30,YOUNG,0
ACC0005367,75,-45,15,-40,-20,30,-50,30,YOUNG,0
ACC0005368,75,25,50,45,10,30,0,-20,YOUNG,0
ACC0005369,-60,-45,15,45,35,-30,40,30,YOUNG,1
ACC0005370,-60,-45,50,45,-55,5,40,-20,MATURE,0
ACC0005371,-25,55,15,-40,35,55,40,-20,MATURE,1
ACC0005372,10,55,-35,-40,-20,5,0,-20,YOUNG,0
ACC0005373,-25,-45,15,-40,35,5,40,30,YOUNG,0
ACC0005374,-60,25,-35,45,10,55,-50,30,YOUNG,0
ACC0005375,40,-10,-35,45,-20,5,40,30,YOUNG,1
ACC0005376,40,-10,-35,-40,65,-30,0,-20,YOUNG,1
ACC0005377,10,55,15,-40,-20,55,-50,30,MATURE,1
ACC0005378,-25,-10,15,-40,65,-30,40,-20,YOUNG,1
ACC0005379,10,55,-35,45,65,30,0,30,MATURE,0
ACC0005380,75,-45,-35,-40,10,5,0,30,YOUNG,0
ACC0005381,10,25,15,45,35,5,-50,30,MATURE,0
ACC0005382,-60,25,15,-40,35,55,40,-20,MATURE,0
ACC0005383,75,55,15,45,10,-30,40,-20,YOUNG,0
ACC0005384,75,55,50,-40,65,-30,40,-20,MATURE,0
ACC0005385,40,-10,50,-40,10,-30,0,-20,MATURE,0
ACC0005386,40,-10,15,45,10,5,40,-20,MATURE,0
ACC0005387,40,25,15,45,10,-30,40,30,YOUNG,0
ACC0005388,40,25,-35,45,65,30,40,30,MATURE,0
ACC0005389,10,-10,-35,45,-55,5,40,-20,MATURE,0
ACC0005390,-25,-10,-35,-40,-20,-30,0,30,YOUNG,0
ACC0005391,-25,25,15,-40,10,30,0,30,YOUNG,0
ACC0005392,75,25,15,45,65,30,40,30,MATURE,0
ACC0005393,75,-10,50,-40,-20,30,0,30,YOUNG,0
ACC0005394,-60,25,50,45,35,30,0,-20,MATURE,0
ACC0005395,-25,-10,-35,-40,-55,30,0,30,MATURE,1
ACC0005396,40,55,-35,-40,35,5,40,30,MATURE,0
ACC0005397,10,55,15,45,65,55,40,30,MATURE,0
ACC0005398,-60,55,-35,-40,10,-30,0,30,YOUNG,1
ACC0005399,40,-45,50,45,35,5,-50,30,YOUNG,0
ACC0005400,10,55,-35,-40,65,-30,-50,30,YOUNG,0
ACC0005401,40,-10,-35,-40,35,-30,40,30,YOUNG,0
ACC0005402,-60,25,50,-40,-20,-30,-50,30,YOUNG,1
ACC0005403,-25,-45,50,-40,-20,30,0,-20,YOUNG,0
ACC0005404,75,55,50,45,35,55,0,-20,MATURE,0
ACC0005405,-60,55,50,45,10,30,-50,30,MATURE,0
ACC0005406,10,-10,15,45,10,30,0,-20,MATURE,1
ACC0005407,75,25,-35,-40,35,-30,40,30,MATURE,0
ACC0005408,10,55,15,45,-20,5,40,30,YOUNG,0
ACC0005409,-25,-10,15,-40,10,30,0,30,YOUNG,0
ACC0005410,10,25,50,45,35,-30,40,30,MATURE,0
ACC0005411,40,-10,50,-40,65,55,40,-20,MATURE,0
ACC0005412,40,25,15,45,65,-30,40,-20,YOUNG,0
ACC0005413,40,25,50,45,10,5,0,-20,MATURE,0
ACC0005414,-60,-45,-35,45,10,-30,40,30,YOUNG,1
ACC0005415,40,-10,15,-40,-20,-30,0,30,YOUNG,1
ACC0005416,75,25,15,45,65,55,0,-20,MATURE,0
ACC0005417,40,25,-35,-40,10,5,40,-20,YOUNG,0
ACC0005418,10,-10,-35,45,-20,30,40,30,YOUNG,0
ACC0005419,40,-10,15,45,-55,-30,0,30,YOUNG,0
ACC0005420,40,25,15,45,35,-30,40,30,MATURE,0
ACC0005421,10,-10,15,45,-55,-30,-50,-20,YOUNG,1
ACC0005422,-25,55,50,45,10,30,40,30,MATURE,0
ACC0005423,10,25,-35,-40,-55,55,0,30,YOUNG,1
ACC0005424,40,55,15,45,10,-30,40,-20,MATURE,0
ACC0005425,10,-45,15,45,35,5,0,30,YOUNG,0
ACC0005426,-25,-45,-35,45,65,-30,0,-20,YOUNG,1
ACC0005427,75,25,-35,45,65,-30,-50,30,YOUNG,0
ACC0005428,10,-10,50,45,35,5,40,30,MATURE,0
ACC0005429,-25,-45,15,-40,-55,5,0,-20,YOUNG,1
ACC0005430,-60,-45,15,-40,35,5,40,30,YOUNG,0
ACC0005431,75,-45,15,-40,-20,-30,0,-20,MATURE,0
ACC0005432,40,-45,-35,45,35,-30,-50,-20,MATURE,0
ACC0005433,75,25,15,45,65,-30,40,30,MATURE,0
ACC0005434,75,-45,-35,45,-20,30,40,30,YOUNG,1
ACC0005435,-25,-45,15,-40,-55,5,40,30,YOUNG,1
ACC0005436,40,25,-35,-40,35,5,40,30,YOUNG,0
ACC0005437,75,-10,15,-40,35,-30,0,30,MATURE,0
ACC0005438,10,-10,-35,45,-20,5,40,30,MATURE,1
ACC0005439,10,-45,15,45,-20,-30,40,-20,YOUNG,0
ACC0005440,10,-45,-35,-40,35,30,-50,30,MATURE,0
ACC0005441,10,55,15,45,35,-30,-50,-20,MATURE,0
ACC0005442,-25,-45,15,-40,-55,-30,0,-20,YOUNG,1
ACC0005443,10,55,50,45,10,5,0,30,MATURE,0
ACC0005444,40,-10,15,-40,35,5,0,-20,MATURE,0
ACC0005445,-25,-45,15,45,10,-30,40,30,YOUNG,0
ACC0005446,75,-10,50,45,35,5,40,30,MATURE,0
ACC0005447,75,55,50,-40,35,5,40,-20,MATURE,0
ACC0005448,-25,-10,-35,45,10,-30,0,-20,YOUNG,0
ACC0005449,75,25,15,45,10,30,0,-20,MATURE,0
ACC0005450,40,25,-35,45,35,5,0,-20,YOUNG,0
ACC0005451,75,55,15,45,65,55,0,30,MATURE,0
ACC0005452,10,-10,50,-40,35,30,-50,-20,MATURE,0
ACC0005453,75,25,15,45,-20,-30,40,30,YOUNG,0
ACC0005454,10,-45,15,45,10,-30,40,30,YOUNG,0
ACC0005455,40,55,-35,45,-20,-30,40,30,YOUNG,0
ACC0005456,75,25,-35,45,35,-30,40,30,MATURE,0
ACC0005457,40,55,15,45,65,5,40,-20,MATURE,0
ACC0005458,75,-10,-35,45,35,55,40,30,MATURE,0
ACC0005459,-25,55,15,45,65,-30,0,30,MATURE,0
ACC0005460,10,-10,-35,45,65,-30,40,30,MATURE,0
ACC0005461,75,55,15,45,35,-30,40,30,MATURE,0
ACC0005462,40,25,50,45,35,-30,0,-20,MATURE,0
ACC0005463,75,55,50,45,10,-30,-50,-20,MATURE,0
ACC0005464,75,25,15,45,65,-30,40,-20,MATURE,0
ACC0005465,10,55,15,45,65,55,0,-20,MATURE,0
ACC0005466,75,-10,-35,45,10,-30,40,-20,MATURE,0
ACC0005467,-25,-10,15,-40,10,30,40,30,YOUNG,0
ACC0005468,10,-10,15,45,10,-30,40,30,YOUNG,0
ACC0005469,10,55,-35,-40,35,5,40,30,MATURE,0
ACC0005470,-60,-45,15,45,10,5,0,30,MATURE,0
ACC0005471,10,25,15,45,-55,-30,40,30,MATURE,0
ACC0005472,75,55,-35,45,-20,5,40,30,YOUNG,0
ACC0005473,40,55,15,-40,10,5,-50,-20,YOUNG,0
ACC0005474,75,25,50,45,65,55,40,30,MATURE,0
ACC0005475,40,25,15,45,10,-30,40,30,MATURE,0
ACC0005476,-60,55,15,45,10,-30,40,-20,MATURE,0
ACC0005477,40,-10,15,45,10,55,40,30,MATURE,0
ACC0005478,-25,-10,15,45,10,-30,40,30,YOUNG,1
ACC0005479,75,-10,-35,-40,65,-30,0,30,YOUNG,1
ACC0005480,40,55,-35,-40,10,5,40,30,YOUNG,0
ACC0005481,-60,25,-35,45,-20,30,0,30,YOUNG,1
ACC0005482,75,-10,15,-40,-20,-30,40,30,YOUNG,0
ACC0005483,10,-45,15,-40,35,-30,-50,30,YOUNG,1
ACC0005484,40,25,15,45,35,-30,0,-20,MATURE,0
ACC0005485,40,-45,-35,45,10,55,0,30,YOUNG,0
ACC0005486,40,-10,50,45,35,-30,0,-20,MATURE,0
ACC0005487,-60,-45,15,-40,10,5,0,30,YOUNG,1
ACC0005488,10,-45,15,-40,10,-30,40,-20,YOUNG,1
ACC0005489,10,-45,-35,-40,-20,5,40,-20,YOUNG,0
ACC0005490,-25,-45,15,-40,-55,5,0,30,YOUNG,0
ACC0005491,40,25,15,-40,-55,-30,0,30,YOUNG,1
ACC0005492,10,25,-35,-40,-20,-30,-50,30,YOUNG,1
ACC0005493,-60,-10,-35,45,-20,-30,-50,30,YOUNG,1
ACC0005494,10,-45,-35,-40,-55,30,40,30,YOUNG,1
ACC0005495,75,25,-35,45,35,-30,40,30,MATURE,0
ACC0005496,75,-10,15,-40,10,5,-50,30,YOUNG,0
ACC0005497,75,25,50,-40,35,-30,40,30,MATURE,0
ACC0005498,10,25,15,45,-20,5,0,30,YOUNG,0
ACC0005499,75,-45,50,45,10,55,40,30,MATURE,0
ACC0005500,40,-45,15,-40,65,5,40,30,YOUNG,0
ACC0005501,75,-10,15,-40,65,-30,40,30,YOUNG,0
ACC0005502,40,25,15,45,10,30,0,30,MATURE,0
ACC0005503,40,55,-35,-40,65,30,0,-20,MATURE,0
ACC0005504,40,-45,15,-40,65,-30,0,30,MATURE,0
ACC0005505,75,55,50,45,-20,-30,-50,-20,YOUNG,0
ACC0005506,40,25,-35,45,-20,-30,40,-20,YOUNG,1
ACC0005507,10,-10,15,-40,10,-30,-50,30,YOUNG,1
ACC0005508,-60,55,50,-40,-55,55,0,30,YOUNG,1
ACC0005509,40,-45,15,45,-55,-30,40,30,YOUNG,0
ACC0005510,10,-45,-35,-40,-55,5,-50,30,YOUNG,0
ACC0005511,-25,55,50,45,35,5,40,30,MATURE,0
ACC0005512,40,25,-35,-40,-20,-30,-50,-20,YOUNG,0
ACC0005513,10,25,50,45,10,-30,40,30,MATURE,0
ACC0005514,10,-10,50,-40,35,5,0,30,YOUNG,1
ACC0005515,75,-45,50,45,35,-30,40,30,MATURE,0
ACC0005516,-25,55,-35,45,10,55,0,30,MATURE,0
ACC0005517,75,55,50,45,-20,-30,40,30,MATURE,0
ACC0005518,-60,55,-35,-40,-55,-30,-50,30,YOUNG,1
ACC0005519,40,-10,-35,-40,-20,30,-50,-20,YOUNG,1
ACC0005520,75,25,50,-40,10,55,40,-20,MATURE,0
ACC0005521,-60,55,15,45,35,30,40,30,MATURE,0
ACC0005522,75,-10,15,-40,10,5,0,30,YOUNG,0
ACC0005523,-25,-45,50,-40,35,-30,40,30,YOUNG,0
ACC0005524,75,-45,15,45,65,-30,40,-20,YOUNG,0
ACC0005525,75,55,50,45,65,55,40,-20,MATURE,0
ACC0005526,40,-10,-35,45,10,55,0,-20,YOUNG,0
ACC0005527,40,-45,15,-40,35,-30,0,30,YOUNG,0
ACC0005528,75,-10,15,45,65,5,40,-20,YOUNG,0
ACC0005529,10,-10,-35,45,10,55,40,-20,MATURE,0
ACC0005530,10,25,15,-40,10,-30,40,30,YOUNG,1
ACC0005531,10,-10,50,-40,10,5,0,30,YOUNG,0
ACC0005532,10,-10,-35,45,10,55,-50,30,YOUNG,0
ACC0005533,75,-10,-35,-40,10,5,40,30,YOUNG,0
ACC0005534,-25,-10,-35,45,10,5,0,30,YOUNG,0
ACC0005535,-25,-45,-35,45,35,-30,40,30,YOUNG,0
ACC0005536,75,55,15,45,10,55,0,-20,MATURE,0
ACC0005537,75,-45,50,-40,-20,30,-50,30,YOUNG,0
ACC0005538,10,-10,-35,45,10,-30,-50,-20,YOUNG,0
ACC0005539,-60,-10,-35,45,10,5,0,-20,YOUNG,0
ACC0005540,40,55,-35,45,35,5,40,-20,MATURE,0
ACC0005541,10,-45,-35,45,35,-30,40,-20,YOUNG,1
ACC0005542,-60,-45,15,45,-20,-30,40,30,YOUNG,0
ACC0005543,10,25,15,45,10,-30,-50,30,YOUNG,0
ACC0005544,-25,25,15,45,35,30,0,-20,MATURE,0
ACC0005545,40,25,15,45,65,5,40,30,MATURE,0
